Number of centers,Number of gas stations,Initial solution type,profits,execution time OF THE INITIAL STATE CREATION
100,66,complex,85500,2.29E-5
100,67,empty,86500,0.0
100,67,simple,76320,6.87E-5
100,67,complex,86500,1.005E-4
100,68,empty,87480,0.0
100,68,simple,77284,1.16001E-4
100,68,complex,87480,2.21E-5
100,69,empty,88472,0.0
100,69,simple,78212,7.7701E-5
100,69,complex,88472,2.27E-5
100,70,empty,90432,0.0
100,70,simple,80484,7.4101E-5
100,70,complex,90432,2.22E-5
100,71,empty,92396,0.0
100,71,simple,82268,7.3101E-5
100,71,complex,92396,2.33E-5
100,72,empty,93400,0.0
100,72,simple,84120,7.36E-5
100,72,complex,93400,2.5599E-5
100,73,empty,95364,0.0
100,73,simple,86020,7.36E-5
100,73,complex,95364,2.2499E-5
100,74,empty,96360,0.0
100,74,simple,85730,9.3199E-5
100,74,complex,96360,2.4101E-5
100,75,empty,97324,0.0
100,75,simple,87980,7.6E-5
100,75,complex,97324,2.43E-5
100,76,empty,97324,0.0
100,76,simple,87980,7.7601E-5
100,76,complex,97324,2.33E-5
100,77,empty,98304,0.0
100,77,simple,87276,8.2401E-5
100,77,complex,98328,2.00499E-4
100,78,empty,99320,0.0
100,78,simple,88292,7.9399E-5
100,78,complex,99344,2.4501E-5
100,79,empty,100248,0.0
100,79,simple,89232,7.9201E-5
100,79,complex,100284,2.3101E-5
100,80,empty,101200,0.0
100,80,simple,90896,7.8999E-5
100,80,complex,101236,2.3E-5
100,81,empty,101200,0.0
100,81,simple,90896,8.2699E-5
100,81,complex,101236,2.33E-5
100,82,empty,103092,0.0
100,82,simple,92840,8.27E-5
100,82,complex,103144,2.45E-5
100,83,empty,104064,0.0
100,83,simple,93792,8.47E-5
100,83,complex,104116,2.25E-5
100,84,empty,105064,0.0
100,84,simple,93944,8.49E-5
100,84,complex,105116,2.4301E-5
100,85,empty,106004,0.0
100,85,simple,94868,9.97E-5
100,85,complex,106056,2.38E-5
100,86,empty,107020,0.0
100,86,simple,95808,8.8001E-5
100,86,complex,107072,1.81701E-4
100,87,empty,107956,0.0
100,87,simple,96736,8.77E-5
100,87,complex,108008,2.3E-5
100,88,empty,108948,0.0
100,88,simple,95472,8.87E-5
100,88,complex,109000,1.2E-5
100,89,empty,109912,0.0
100,89,simple,96032,8.8799E-5
100,89,complex,109964,1.18E-5
100,90,empty,110920,0.0
100,90,simple,97036,8.9399E-5
100,90,complex,110972,1.2399E-5
100,91,empty,112880,0.0
100,91,simple,98968,9.6899E-5
100,91,complex,112932,1.2E-5
100,92,empty,113820,0.0
100,92,simple,99632,9.16E-5
100,92,complex,113872,1.2301E-5
100,93,empty,115752,0.0
100,93,simple,101520,9.3899E-5
100,93,complex,115804,1.2299E-5
100,94,empty,117684,0.0
100,94,simple,103260,9.4301E-5
100,94,complex,117720,1.3999E-5
100,95,empty,118556,0.0
100,95,simple,104320,9.5601E-5
100,95,complex,118592,1.38E-5
100,96,empty,119492,0.0
100,96,simple,104844,9.6601E-5
100,96,complex,119528,1.54E-5
100,97,empty,120488,0.0
100,97,simple,105840,9.7501E-5
100,97,complex,120524,1.4001E-5
100,98,empty,121444,0.0
100,98,simple,106308,9.64E-5
100,98,complex,121480,1.3499E-5
100,99,empty,122368,0.0
100,99,simple,107248,1.002E-4
100,99,complex,122404,1.37E-5
100,100,empty,123380,0.0
100,100,simple,108240,1.02299E-4
100,100,complex,123416,1.3999E-5
