Segons nombre centres,,,,,,,,,,Segons nombre gasolineres,,,,
Number of centers,Number of gas stations,Initial solution type,profits,execution time OF THE INITIAL STATE CREATION,,,,,,Number of centers,Number of gas stations,Initial solution type,profits,execution time OF THE INITIAL STATE CREATION
70,100,empty,122808,0,,,,,,100,70,empty,90432,0
70,100,simple,107696,7.46E-05,,,,,,100,70,simple,80484,7.41E-05
70,100,complex,122912,1.25E-04,,,,,,100,70,complex,90432,2.22E-05
71,100,empty,122816,0,,,,,,100,71,empty,92396,0
71,100,simple,107720,7.43E-05,,,,,,100,71,simple,82268,7.31E-05
71,100,complex,122920,1.26E-04,,,,,,100,71,complex,92396,2.33E-05
72,100,empty,122832,0,,,,,,100,72,empty,93400,0
72,100,simple,107720,7.51E-05,,,,,,100,72,simple,84120,7.36E-05
72,100,complex,122936,1.36E-04,,,,,,100,72,complex,93400,2.56E-05
73,100,empty,122836,0,,,,,,100,73,empty,95364,0
73,100,simple,107792,7.59E-05,,,,,,100,73,simple,86020,7.36E-05
73,100,complex,122940,1.33E-04,,,,,,100,73,complex,95364,2.25E-05
74,100,empty,122836,0,,,,,,100,74,empty,96360,0
74,100,simple,107792,7.71E-05,,,,,,100,74,simple,85730,9.32E-05
74,100,complex,122940,1.33E-04,,,,,,100,74,complex,96360,2.41E-05
75,100,empty,122836,0,,,,,,100,75,empty,97324,0
75,100,simple,107792,7.72E-05,,,,,,100,75,simple,87980,7.60E-05
75,100,complex,122940,1.34E-04,,,,,,100,75,complex,97324,2.43E-05
76,100,empty,122908,0,,,,,,100,76,empty,97324,0
76,100,simple,107796,7.88E-05,,,,,,100,76,simple,87980,7.76E-05
76,100,complex,123012,1.26E-04,,,,,,100,76,complex,97324,2.33E-05
77,100,empty,122908,0,,,,,,100,77,empty,98304,0
77,100,simple,107796,7.93E-05,,,,,,100,77,simple,87276,8.24E-05
77,100,complex,123012,1.39E-04,,,,,,100,77,complex,98328,2.00E-04
78,100,empty,122928,0,,,,,,100,78,empty,99320,0
78,100,simple,107796,7.98E-05,,,,,,100,78,simple,88292,7.94E-05
78,100,complex,123032,1.35E-04,,,,,,100,78,complex,99344,2.45E-05
79,100,empty,122928,0,,,,,,100,79,empty,100248,0
79,100,simple,107840,7.99E-05,,,,,,100,79,simple,89232,7.92E-05
79,100,complex,123032,1.42E-04,,,,,,100,79,complex,100284,2.31E-05
80,100,empty,122952,0,,,,,,100,80,empty,101200,0
80,100,simple,107840,8.16E-05,,,,,,100,80,simple,90896,7.90E-05
80,100,complex,123056,1.40E-04,,,,,,100,80,complex,101236,2.30E-05
81,100,empty,122996,0,,,,,,100,81,empty,101200,0
81,100,simple,107844,8.24E-05,,,,,,100,81,simple,90896,8.27E-05
81,100,complex,123100,1.42E-04,,,,,,100,81,complex,101236,2.33E-05
82,100,empty,123028,0,,,,,,100,82,empty,103092,0
82,100,simple,107844,8.34E-05,,,,,,100,82,simple,92840,8.27E-05
82,100,complex,123132,1.42E-04,,,,,,100,82,complex,103144,2.45E-05
83,100,empty,123028,0,,,,,,100,83,empty,104064,0
83,100,simple,107844,8.50E-05,,,,,,100,83,simple,93792,8.47E-05
83,100,complex,123132,1.37E-04,,,,,,100,83,complex,104116,2.25E-05
84,100,empty,123028,0,,,,,,100,84,empty,105064,0
84,100,simple,107844,8.47E-05,,,,,,100,84,simple,93944,8.49E-05
84,100,complex,123132,1.43E-04,,,,,,100,84,complex,105116,2.43E-05
85,100,empty,123036,0,,,,,,100,85,empty,106004,0
