Opcio,Steps,stiter,k,lamb,profits,execution time
1,3000,51,11,9.999999999999999E-6,84864,0.14
1,3000,51,11,9.999999999999999E-5,82716,0.136
1,3000,51,11,0.001,78256,0.135
1,3000,51,21,1.0E-7,84708,0.133
1,3000,51,21,1.0E-6,83776,0.139
1,3000,51,21,9.999999999999999E-6,75132,0.137
1,3000,51,21,9.999999999999999E-5,85076,0.126
1,3000,51,21,0.001,85820,0.131
1,3000,101,1,1.0E-7,86256,0.133
1,3000,101,1,1.0E-6,79226,0.127
1,3000,101,1,9.999999999999999E-6,72334,0.135
1,3000,101,1,9.999999999999999E-5,80798,0.142
1,3000,101,1,0.001,82222,0.131
1,3000,101,11,1.0E-7,85200,0.135
1,3000,101,11,1.0E-6,85218,0.134
1,3000,101,11,9.999999999999999E-6,85824,0.129
1,3000,101,11,9.999999999999999E-5,85250,0.137
1,3000,101,11,0.001,82456,0.141
1,3000,101,21,1.0E-7,84216,0.136
1,3000,101,21,1.0E-6,78504,0.137
1,3000,101,21,9.999999999999999E-6,82310,0.132
1,3000,101,21,9.999999999999999E-5,73260,0.131
1,3000,101,21,0.001,77024,0.134
1,3000,151,1,1.0E-7,83188,0.135
1,3000,151,1,1.0E-6,84770,0.136
1,3000,151,1,9.999999999999999E-6,83036,0.13
1,3000,151,1,9.999999999999999E-5,83398,0.129
1,3000,151,1,0.001,84624,0.133
1,3000,151,11,1.0E-7,84404,0.134
1,3000,151,11,1.0E-6,79114,0.138
1,3000,151,11,9.999999999999999E-6,80216,0.15
1,3000,151,11,9.999999999999999E-5,75236,0.132
1,3000,151,11,0.001,76598,0.138
1,3000,151,21,1.0E-7,73008,0.133
1,3000,151,21,1.0E-6,86642,0.125
1,3000,151,21,9.999999999999999E-6,84068,0.133
1,3000,151,21,9.999999999999999E-5,81128,0.135
1,3000,151,21,0.001,79348,0.13
1,3000,201,1,1.0E-7,84658,0.131
1,3000,201,1,1.0E-6,84508,0.137
1,3000,201,1,9.999999999999999E-6,80466,0.135
1,3000,201,1,9.999999999999999E-5,81802,0.131
1,3000,201,1,0.001,86786,0.141
1,3000,201,11,1.0E-7,82616,0.138
1,3000,201,11,1.0E-6,78556,0.13
1,3000,201,11,9.999999999999999E-6,82862,0.136
1,3000,201,11,9.999999999999999E-5,81730,0.136
1,3000,201,11,0.001,83832,0.13
1,3000,201,21,1.0E-7,87066,0.135
1,3000,201,21,1.0E-6,85036,0.132
1,3000,201,21,9.999999999999999E-6,82390,0.132
1,3000,201,21,9.999999999999999E-5,71142,0.13
1,3000,201,21,0.001,86094,0.133
1,3000,251,1,1.0E-7,77528,0.133
1,3000,251,1,1.0E-6,81772,0.131
1,3000,251,1,9.999999999999999E-6,83068,0.139
1,3000,251,1,9.999999999999999E-5,77932,0.13
1,3000,251,1,0.001,83164,0.133
1,3000,251,11,1.0E-7,77930,0.127
1,3000,251,11,1.0E-6,81512,0.128
1,3000,251,11,9.999999999999999E-6,81392,0.136
1,3000,251,11,9.999999999999999E-5,87618,0.133
1,3000,251,11,0.001,75450,0.136
1,3000,251,21,1.0E-7,85308,0.133
1,3000,251,21,1.0E-6,82946,0.128
1,3000,251,21,9.999999999999999E-6,83980,0.133
1,3000,251,21,9.999999999999999E-5,79080,0.14
1,3000,251,21,0.001,79036,0.133
1,4000,1,1,1.0E-7,83622,0.178
1,4000,1,1,1.0E-6,85320,0.166
1,4000,1,1,9.999999999999999E-6,83894,0.176
1,4000,1,1,9.999999999999999E-5,83452,0.178
1,4000,1,1,0.001,85860,0.182
1,4000,1,11,1.0E-7,64422,0.177
1,4000,1,11,1.0E-6,74444,0.182
1,4000,1,11,9.999999999999999E-6,84102,0.171
1,4000,1,11,9.999999999999999E-5,84156,0.173
1,4000,1,11,0.001,80108,0.179
1,4000,1,21,1.0E-7,85746,0.181
1,4000,1,21,1.0E-6,80618,0.178
1,4000,1,21,9.999999999999999E-6,86710,0.18
1,4000,1,21,9.999999999999999E-5,79100,0.172
1,4000,1,21,0.001,81256,0.183
1,4000,51,1,1.0E-7,78192,0.186
1,4000,51,1,1.0E-6,80522,0.18
1,4000,51,1,9.999999999999999E-6,86834,0.171
1,4000,51,1,9.999999999999999E-5,84816,0.176
1,4000,51,1,0.001,85428,0.172
1,4000,51,11,1.0E-7,82112,0.178
1,4000,51,11,1.0E-6,79782,0.167
1,4000,51,11,9.999999999999999E-6,83184,0.174
1,4000,51,11,9.999999999999999E-5,83630,0.173
1,4000,51,11,0.001,82966,0.172
1,4000,51,21,1.0E-7,85066,0.175
1,4000,51,21,1.0E-6,77588,0.178
1,4000,51,21,9.999999999999999E-6,85598,0.176
1,4000,51,21,9.999999999999999E-5,79304,0.175
1,4000,51,21,0.001,85618,0.169
1,4000,101,1,1.0E-7,82654,0.165
1,4000,101,1,1.0E-6,86652,0.171
1,4000,101,1,9.999999999999999E-6,76020,0.178
1,4000,101,1,9.999999999999999E-5,84048,0.173
1,4000,101,1,0.001,80988,0.178
1,4000,101,11,1.0E-7,81966,0.187
1,4000,101,11,1.0E-6,77086,0.173
1,4000,101,11,9.999999999999999E-6,80386,0.174
1,4000,101,11,9.999999999999999E-5,80518,0.172
1,4000,101,11,0.001,80410,0.173
1,4000,101,21,1.0E-7,75876,0.175
1,4000,101,21,1.0E-6,85274,0.175
1,4000,101,21,9.999999999999999E-6,71956,0.176
1,4000,101,21,9.999999999999999E-5,68546,0.167
1,4000,101,21,0.001,86772,0.175
1,4000,151,1,1.0E-7,78146,0.178
1,4000,151,1,1.0E-6,79918,0.169
1,4000,151,1,9.999999999999999E-6,81042,0.177
1,4000,151,1,9.999999999999999E-5,86268,0.181
1,4000,151,1,0.001,83508,0.171
1,4000,151,11,1.0E-7,84436,0.164
1,4000,151,11,1.0E-6,73376,0.185
1,4000,151,11,9.999999999999999E-6,81220,0.183
1,4000,151,11,9.999999999999999E-5,73814,0.176
1,4000,151,11,0.001,82568,0.18
1,4000,151,21,1.0E-7,82696,0.175
1,4000,151,21,1.0E-6,77152,0.176
1,4000,151,21,9.999999999999999E-6,87598,0.174
1,4000,151,21,9.999999999999999E-5,78296,0.175
1,4000,151,21,0.001,85488,0.175
1,4000,201,1,1.0E-7,81932,0.168
1,4000,201,1,1.0E-6,86038,0.164
1,4000,201,1,9.999999999999999E-6,65084,0.169
1,4000,201,1,9.999999999999999E-5,81928,0.179
1,4000,201,1,0.001,82672,0.172
1,4000,201,11,1.0E-7,67072,0.168
1,4000,201,11,1.0E-6,79152,0.176
1,4000,201,11,9.999999999999999E-6,82640,0.175
1,4000,201,11,9.999999999999999E-5,77254,0.162
1,4000,201,11,0.001,82820,0.165
1,4000,201,21,1.0E-7,86502,0.163
1,4000,201,21,1.0E-6,82192,0.177
1,4000,201,21,9.999999999999999E-6,71276,0.173
1,4000,201,21,9.999999999999999E-5,83416,0.174
1,4000,201,21,0.001,85494,0.178
1,4000,251,1,1.0E-7,81672,0.17
1,4000,251,1,1.0E-6,73498,0.176
1,4000,251,1,9.999999999999999E-6,70456,0.167
1,4000,251,1,9.999999999999999E-5,81958,0.174
1,4000,251,1,0.001,73276,0.18
1,4000,251,11,1.0E-7,78174,0.171
1,4000,251,11,1.0E-6,73970,0.177
1,4000,251,11,9.999999999999999E-6,76238,0.171
1,4000,251,11,9.999999999999999E-5,81392,0.165
1,4000,251,11,0.001,81246,0.178
1,4000,251,21,1.0E-7,78780,0.174
1,4000,251,21,1.0E-6,83258,0.171
1,4000,251,21,9.999999999999999E-6,78106,0.171
1,4000,251,21,9.999999999999999E-5,76456,0.172
1,4000,251,21,0.001,80280,0.171
1,5000,1,1,1.0E-7,84140,0.213
1,5000,1,1,1.0E-6,84912,0.21
1,5000,1,1,9.999999999999999E-6,84918,0.216
1,5000,1,1,9.999999999999999E-5,84780,0.214
1,5000,1,1,0.001,82950,0.231
1,5000,1,11,1.0E-7,70136,0.214
1,5000,1,11,1.0E-6,81890,0.223
1,5000,1,11,9.999999999999999E-6,81606,0.217
1,5000,1,11,9.999999999999999E-5,80942,0.221
1,5000,1,11,0.001,82546,0.21
1,5000,1,21,1.0E-7,85648,0.224
1,5000,1,21,1.0E-6,86118,0.214
1,5000,1,21,9.999999999999999E-6,83114,0.213
1,5000,1,21,9.999999999999999E-5,82038,0.212
1,5000,1,21,0.001,78508,0.207
1,5000,51,1,1.0E-7,81606,0.216
1,5000,51,1,1.0E-6,84412,0.216
1,5000,51,1,9.999999999999999E-6,84158,0.224
1,5000,51,1,9.999999999999999E-5,81902,0.224
1,5000,51,1,0.001,86606,0.235
1,5000,51,11,1.0E-7,87248,0.225
1,5000,51,11,1.0E-6,80042,0.229
1,5000,51,11,9.999999999999999E-6,80378,0.224
1,5000,51,11,9.999999999999999E-5,86166,0.221
1,5000,51,11,0.001,84094,0.238
1,5000,51,21,1.0E-7,82670,0.221
1,5000,51,21,1.0E-6,85432,0.233
1,5000,51,21,9.999999999999999E-6,81942,0.24
