Number of centers,Number of gas stations,Initial solution type,profits,execution time OF THE INITIAL STATE CREATION
100,25,empty,30680,0.0
100,25,simple,30436,2.67E-5
100,25,complex,30680,1.25E-5
100,26,empty,32680,0.0
100,26,simple,31674,4.52E-5
100,26,complex,32680,3.65E-5
100,27,empty,34680,0.0
100,27,simple,33670,4.53E-5
100,27,complex,34680,4.44E-5
100,28,empty,35660,0.0
100,28,simple,34500,2.57E-5
100,28,complex,35660,1.23E-5
100,29,empty,35660,0.0
100,29,simple,34500,4.79E-5
100,29,complex,35660,3.26E-5
100,30,empty,36620,0.0
100,30,simple,35460,4.74E-5
100,30,complex,36620,1.28E-5
100,31,empty,38580,0.0
100,31,simple,37416,5.26E-5
100,31,complex,38580,3.35E-5
100,32,empty,39556,0.0
100,32,simple,38542,3.0E-5
100,32,complex,39556,1.22E-5
100,33,empty,40528,0.0
100,33,simple,39374,4.48E-5
100,33,complex,40528,1.27E-5
100,34,empty,42568,0.0
100,34,simple,41406,3.06E-5
100,34,complex,42568,1.31E-5
100,35,empty,44608,0.0
100,35,simple,43582,3.36E-5
100,35,complex,44608,3.59E-5
100,36,empty,46604,0.0
100,36,simple,45574,5.54E-5
100,36,complex,46604,1.3E-5
100,37,empty,48600,0.0
100,37,simple,46340,3.34E-5
100,37,complex,48600,2.75E-5
100,38,empty,50640,0.0
100,38,simple,49602,3.68E-5
100,38,complex,50640,1.28E-5
100,39,empty,51660,0.0
100,39,simple,50622,5.56E-5
100,39,complex,51660,1.34E-5
100,40,empty,51660,0.0
100,40,simple,50622,3.65E-5
100,40,complex,51660,1.33E-5
100,41,empty,52640,0.0
100,41,simple,51594,3.81E-5
100,41,complex,52640,3.45E-5
100,42,empty,54536,0.0
100,42,simple,53482,5.8E-5
100,42,complex,54540,1.53E-5
100,43,empty,55552,0.0
100,43,simple,54498,9.28E-5
100,43,complex,55556,5.31E-5
100,44,empty,56508,0.0
100,44,simple,55084,4.07E-5
100,44,complex,56512,4.24E-5
100,45,empty,58504,0.0
100,45,simple,55852,4.01E-5
100,45,complex,58508,1.63E-5
100,46,empty,60444,0.0
100,46,simple,57784,9.69E-5
100,46,complex,60448,1.79E-5
100,47,empty,62420,0.0
100,47,simple,59746,4.38E-5
100,47,complex,62424,4.1E-5
100,48,empty,63440,0.0
100,48,simple,60762,4.43E-5
100,48,complex,63444,3.62E-5
100,49,empty,65400,0.0
100,49,simple,62034,1.223E-4
100,49,complex,65404,1.66E-5
100,50,empty,66416,0.0
100,50,simple,63050,6.37E-5
100,50,complex,66420,3.8E-5
100,51,empty,67436,0.0
100,51,simple,64070,4.56E-5
100,51,complex,67440,1.58E-5
100,52,empty,68416,0.0
100,52,simple,65050,4.75E-5
100,52,complex,68420,3.61E-5
100,53,empty,69376,0.0
100,53,simple,66010,4.87E-5
100,53,complex,69380,3.64E-5
100,54,empty,71416,0.0
100,54,simple,69252,1.081E-4
100,54,complex,71420,3.65E-5
100,55,empty,72396,0.0
100,55,simple,68168,6.82E-5
100,55,complex,72400,5.17E-5
100,56,empty,74396,0.0
100,56,simple,71234,7.0E-5
100,56,complex,74400,3.76E-5
100,57,empty,75412,0.0
100,57,simple,71036,4.97E-5
100,57,complex,75416,4.57E-5
100,58,empty,76328,0.0
100,58,simple,71956,5.02E-5
100,58,complex,76332,1.86E-5
100,59,empty,78368,0.0
100,59,simple,75202,5.36E-5
100,59,complex,78372,1.85E-5
100,60,empty,79384,0.0
100,60,simple,76904,5.25E-5
100,60,complex,79388,1.83E-5
100,61,empty,80400,0.0
100,61,simple,76468,5.51E-5
100,61,complex,80404,2.22E-5
100,62,empty,82380,0.0
100,62,simple,78338,5.48E-5
100,62,complex,82384,1.86E-5
100,63,empty,83356,0.0
100,63,simple,79104,5.54E-5
100,63,complex,83360,1.87E-5
100,64,empty,84272,0.0
100,64,simple,80066,5.53E-5
100,64,complex,84280,4.27E-5
100,65,empty,85288,0.0
100,65,simple,81036,1.014E-4
100,65,complex,85296,2.23E-5
100,66,empty,86244,0.0
100,66,simple,81978,6.5E-5
100,66,complex,86252,2.17E-5
100,67,empty,87264,0.0
100,67,simple,82912,6.01E-5
100,67,complex,87272,2.5E-5
100,68,empty,88284,0.0
100,68,simple,84894,1.139E-4
100,68,complex,88292,2.18E-5
100,69,empty,89292,0.0
100,69,simple,85980,6.17E-5
100,69,complex,89300,2.09E-5
100,70,empty,91272,0.0
100,70,simple,86878,6.11E-5
100,70,complex,91280,2.1E-5
100,71,empty,93272,0.0
100,71,simple,88956,6.25E-5
100,71,complex,93280,2.18E-5
100,72,empty,94292,0.0
